Date,Buyin,Cashout,Result,Duration,Warmup,Strategy,Mental,Post,Notes
2024-05-24,2000,1650,-350,6.5,1,2,2,1,
2024-05-25,2000,2770,770,5.5,1,2,2,1,
2024-05-29,2000,2000,0,4.5,1,2,2,1,
2024-06-01,2000,840,-1160,4.5,1,2,2,1,
2024-06-07,2000,2035,35,4.5,0,2,2,1,
2024-06-09,2000,1815,-185,4.5,1,2,2,1,
2024-06-15,2000,0,-2000,4.5,1,2,1,1,
2024-06-21,2000,1715,-285,4.5,0,2,2,0,
2024-12-07,2000,3016,1016,4.5,2,3,2,1,
2024-12-12,2000,2234,234,4.5,2,3,2,1,
2024-12-14,2000,1485,-515,4.5,1,2,2,1,
2024-12-19,2000,2076,76,4.5,1,2,2,1,
2024-12-21,2000,3594,1594,4.5,1,2,2,1,
2025-01-09,2000,1770,-230,4.5,0,3,2,1,Intense;  exploring;  not fully confident in reads
2025-01-11,2200,2674,474,4.5,1,2,3,1,
2025-01-16,2500,1450,-1050,4.5,1,2,0,1,Overconficence to loose to bit tilt
2025-01-17,2000,2560,560,5,1,3,2,1,
2025-01-23,2000,1000,-1000,4,2,2,1,0,
2025-06-07,2000,2400,400,4.5,1,2,2,1,
2025-06-20,2000,1800,-200,4.5,1,2,2,1,
2025-06-25,500,620,120,2.5,1,2,2,1,USA 
2025-06-26,2000,675,-1325,4.5,1,2,2,1,
2025-07-04,2000,2335,335,4.5,1,2,2,1,
2025-07-11,2000,3537,1537,4.5,1,2,2,1,
2025-07-18,2000,2400,400,4.5,1,3,2,1,
